ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001225208-24-001886	1644390	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		12512.0				12512.0				D			
0001225208-24-001886	1644391	Stock Option		104.16				01-JAN-2027		05-FEB-2034		Common Stock		9320.0				9320.0				D			
0001225208-24-001886	1644392	Stock Units (LTIP)			F2				F2		F2	Common Stock		7262.5				7262.5				D			
0001212545-24-000057	1644633	Cash Settled Restricted Stock Units			F2				F3	15-FEB-2027		Common Stock		10252.0				10252.0				D			
0001127602-24-004591	1644659	Stock Option (Right to Buy)		249.26				09-FEB-2024	F6	09-FEB-2033		Common Stock		2433.0				2433.0				D			
0001127602-24-004591	1644652	Stock Option (Right to Buy)		138.03					F5	11-FEB-2026		Common Stock		2500.0				2500.0				D			
0001127602-24-004591	1644653	Stock Option (Right to Buy)		168.7					F5	09-FEB-2027		Common Stock		4750.0				4750.0				D			
0001127602-24-004591	1644654	Stock Option (Right to Buy)		161.18					F5	15-FEB-2028		Common Stock		3728.0				3728.0				D			
0001127602-24-004591	1644655	Stock Option (Right to Buy)		155.92					F5	14-FEB-2029		Common Stock		4500.0				4500.0				D			
0001127602-24-004591	1644656	Stock Option (Right to Buy)		155.34					F5	13-FEB-2030		Common Stock		4700.0				4700.0				D			
0001127602-24-004591	1644657	Stock Option (Right to Buy)		189.89				11-FEB-2022	F6	11-FEB-2031		Common Stock		2815.0				2815.0				D			
0001127602-24-004591	1644658	Stock Option (Right to Buy)		211.67				10-FEB-2023	F6	10-FEB-2032		Common Stock		2941.0				2941.0				D			
0001127602-24-004591	1644662	Performance Units			F4				F8		F8	Common Stock		878.0				878.0				D			
0001127602-24-004591	1644663	Performance Units			F4				F9		F9	Common Stock		1006.0				1006.0				D			
0001127602-24-004591	1644664	Performance Units			F4				F10		F10	Common Stock		1111.0				1111.0				D			
0001127602-24-004591	1644665	Deferred Stock Units			F4				F11		F11	Common Stock		351.22	F12			351.22	F12			D			
0001127602-24-004591	1644661	Restricted Stock Units			F4			09-FEB-2026	F7	09-FEB-2026	F7	Common Stock		556.0				556.0				D			
0001127602-24-004591	1644660	Restricted Stock Units			F4			10-FEB-2025	F7	10-FEB-2025	F7	Common Stock		502.0				502.0				D			
0001212545-24-000055	1644339	Cash Settled Restricted Stock Units			F1				F2	15-FEB-2027		Common Stock		3495.0				3495.0				D			
0001127602-24-004590	1644380	Performance Units			F4				F10		F10	Common Stock		1111.0				1111.0				D			
0001127602-24-004590	1644378	Performance Units			F4				F8		F8	Common Stock		891.0				891.0				D			
0001127602-24-004590	1644377	Restricted Stock Units			F4			09-FEB-2026	F7	09-FEB-2026	F7	Common Stock		556.0				556.0				D			
0001127602-24-004590	1644376	Restricted Stock Units			F4			10-FEB-2025	F7	10-FEB-2025	F7	Common Stock		502.0				502.0				D			
0001127602-24-004590	1644375	Stock Option (Right to Buy)		249.26				09-FEB-2024	F6	09-FEB-2033		Common Stock		2433.0				2433.0				D			
0001127602-24-004590	1644374	Stock Option (Right to Buy)		211.67				10-FEB-2023	F6	10-FEB-2032		Common Stock		2941.0				2941.0				D			
0001127602-24-004590	1644373	Stock Option (Right to Buy)		189.89				11-FEB-2022	F6	11-FEB-2031		Common Stock		2856.0				2856.0				D			
0001127602-24-004590	1644372	Stock Option (Right to Buy)		155.34					F5	13-FEB-2030		Common Stock		3500.0				3500.0				D			
0001127602-24-004590	1644371	Stock Option (Right to Buy)		161.18					F5	15-FEB-2028		Common Stock		2906.0				2906.0				D			
0001127602-24-004590	1644370	Stock Option (Right to Buy)		168.7					F5	09-FEB-2027		Common Stock		2200.0				2200.0				D			
0001127602-24-004590	1644379	Performance Units			F4				F9		F9	Common Stock		1006.0				1006.0				D			
0001212545-24-000053	1644486	Cash Settled Restricted Stock Units			F1				F2	15-FEB-2027		Common Stock		5695.0				5695.0				D			
0001127602-24-004588	1644619	Stock Option (Right to Buy)		161.18					F5	15-FEB-2028		Common Stock		7594.0				7594.0				D			
0001127602-24-004588	1644620	Stock Option (Right to Buy)		155.92					F5	14-FEB-2029		Common Stock		12000.0				12000.0				D			
